claim_id,claim_text,claim_type,decision_importance,volatility,evidence_status,evidence_ids,calculation_ids,direct_calculated_or_inferred,contradicting_claim_ids,unknown_id,confidence,alternative_explanation,verification_status,citation_ready,include_in_report,last_checked,report_locations,notes
C-001,"Keep the seven specialized skills and add bounded shared contracts rather than a universal humanizer",architecture,high,low,I,"E-901;E-201;E-402;E-423;E-432",,inferred,,,high,"A new general editor would be simpler but would recreate cross-skill conflicts",passed,true,true,2026-08-25,Executive findings; target architecture,"Root synthesis"
C-002,"A detect-only audit should name observable patterns and never infer authorship",safety,high,medium,I,"E-201;E-401;E-415;E-411",,inferred,"CTR-001",U-001,high,"Authorship labels might be retained as explicitly heuristic UI output but remain easy to misuse",passed,true,true,2026-08-25,Executive findings; recommendation 2,"Portfolio recommendation inferred from documented source mechanisms"
C-003,"Voice calibration and source-bounded personality are a genuine portfolio gap",capability-gap,high,low,I,"E-107;E-202;E-214;E-406;E-433;E-435;E-901",,inferred,"CTR-002",U-003,high,"Voice could be embedded as a shared invariant rather than a new skill",passed,true,true,2026-08-25,Recommendation 1,"Bounded ownership needed"
C-004,"Claim integrity and source-matched precision are a genuine cross-genre portfolio gap",capability-gap,high,medium,I,"E-112;E-205;E-217;E-301;E-423;E-424;E-426;E-901",,inferred,"CTR-003;CTR-005",U-001,high,"Memo structure already protects evidence in decision genres but not every artifact",passed,true,true,2026-08-25,Recommendation 1,"Source gate must precede specificity"
C-005,"Behavioral evaluation should test proposition preservation voice retention and false positives rather than only package structure or marker counts",evaluation,high,medium,I,"E-111;E-112;E-217;E-305;E-306;E-307;E-317;E-412;E-435;E-436;E-437;E-902",K-301;K-302,inferred,"CTR-004",U-003,high,"Static marker gates remain useful as triage",passed,true,true,2026-08-25,Recommendation 3,"Add repeated output-level cases"
C-006,"Any optional linter should be context-aware explainable non-authorial and non-mutating by default",architecture,high,medium,I,"E-214;E-401;E-402;E-415;E-437",,inferred,"CTR-001;CTR-004",U-001,high,"A manual-only workflow avoids tool risk but loses repeatable checks",passed,true,true,2026-08-25,Recommendation 2,"No universal score or auto-fix"
C-007,"Kami contributes useful genre overlays for evidence-bearing titles captions precision current facts and cross-surface drift",capability-extension,medium,medium,I,"E-423;E-424;E-426;E-427;E-431",,inferred,"CTR-005",,high,"Some rules are artifact-production rather than prose editing",passed,true,true,2026-08-25,Recommendation 4,"Portfolio usefulness is inferred from documented mechanisms"
C-008,"Blanket bans on passives adverbs words punctuation triads and sentence lengths should be rejected",safety,high,low,I,"E-110;E-111;E-204;E-214;E-312;E-901",,inferred,"CTR-002;CTR-006",U-002,high,"A narrow house style can choose some bans explicitly",passed,true,true,2026-08-25,Do not adopt,"Context and rhetorical function control"
C-009,"Repeated advice across the source list is not independent confirmation because soundshuman and avoid-ai-writing explicitly derive from or credit humanizer",provenance,medium,low,I,"E-122;E-430",,inferred,,,high,"Shared upstream sources can still produce independently useful implementation work",passed,true,true,2026-08-25,Source interpretation,"Methodological inference from documented lineage; do not vote-count pattern frequency"
C-010,"Seven repositories contain top-level MIT license text while anti-ai-slop-writing has no top-level license file and labels itself MIT only in its README",licensing,medium,medium,O,"E-317;E-438",K-303,calculated,,,high,"File-specific or upstream obligations may still apply",passed,true,true,2026-08-25,Licensing,"Observation not legal advice"
C-011,"Among soundshuman avoid-ai-writing and Slopkit the latter two contain the more substantial built-in evaluation artifacts but neither establishes general writing quality",evidence-quality,medium,medium,I,"E-106;E-305;E-412;E-415",K-301;K-302,inferred,"CTR-001;CTR-004",U-001,high,"Artifact volume does not guarantee good methodology",passed,true,true,2026-08-25,Repository assessment,"Comparison is limited to the three sources counted by K-302"
C-012,"Retain the existing portfolio as the base because it explicitly covers structure flow clarity concision syntactic purpose contextual usage skip rules and preservation while categorical anti-slop prompts omit or conflict with some of those controls",baseline,high,low,I,"E-901;E-902;E-110;E-312",,inferred,"CTR-006",,high,"The baseline lacks voice and cross-genre claim integrity",passed,true,true,2026-08-25,Executive findings; coverage map,"Architecture recommendation not a reproduced outcome claim"
C-013,"Humanizer and soundshuman identify Wikipedia-derived pattern provenance that may add file-level reuse obligations beyond downstream MIT labels",provenance,medium,low,I,"E-439;E-440",,inferred,,,high,"A legal review could determine that particular copied expressions have different obligations",passed,true,true,2026-08-25,Licensing,"Licensing inference from documented provenance; not legal advice"
C-014,"Selected source mechanisms can be routed to existing portfolio owners as bounded reference overlays rather than a universal editing pass",capability-extension,medium,low,I,"E-112;E-202;E-204;E-423;E-431;E-432;E-434;E-435;E-441;E-442;E-901",,inferred,,,high,"Separate new skills could instead own every imported mechanism",passed,true,true,2026-08-25,Recommendation 4,"Routing recommendation based on mechanism and current owner boundaries"
