evidence_id,source_id,location,modality,extracted_fact,support_scope,limitations,extracted_by,extracted_at,verification_status
E-106,S-001,tests/sloplint.test.js:14-90,test,"The soundshuman test file contains eleven JavaScript test declarations covering one classification pair and selected unit cases",direct,"Tests were counted statically and not executed",ROOT,2026-08-25T19:16:53Z,passed
E-107,S-001,SKILL.md:27-42,prompt,"soundshuman requires claim preservation no invented facts and author-sample voice calibration",direct,"Instruction does not prove model compliance",AG-001,2026-08-25T18:42:41Z,passed
E-112,S-001,SKILL.md:147-152,prompt,"A false-agency example inserts a team actor and timing absent from the displayed source",direct,"Omitted context could exist",AG-001,2026-08-25T18:42:41Z,passed
E-122,S-001,README.md:9-13,text,"soundshuman credits blader/humanizer for its pattern-catalog and preservation backbone",direct,"Shows lineage rather than outcome quality",ROOT,2026-08-25T18:55:27Z,passed
E-110,S-002,SKILL.md:13-60,prompt,"stop-slop imposes categorical adverb passive voice Wh-opener and punctuation rules plus a subjective score",direct,"No preservation contract or behavioral validation",AG-001,2026-08-25T18:42:41Z,passed
E-111,S-002,references/examples.md:15-23,text,"An approved rewrite drops most and changes unwillingness to admit confusion into actual admission",direct,"Synthetic example without wider context",AG-001,2026-08-25T18:42:41Z,passed
E-201,S-003,skills/no-ai-slop/SKILL.md:10-22,prompt,"No AI Slop separates edit from detect-only and forbids scoring or guessing AI authorship",direct,"Intended behavior only",AG-002,2026-08-25T18:46:28Z,passed
E-202,S-003,skills/no-ai-slop/SKILL.md:24-42,prompt,"No AI Slop calls for minimum effective edits voice preservation and no invented content",direct,"Intended behavior only",AG-002,2026-08-25T18:46:28Z,passed
E-204,S-003,skills/no-ai-slop/SKILL.md:44-50,prompt,"One vocabulary list is banned outright while nearby lists include contextual exceptions",direct,"No precedence rule for voice conflicts",AG-002,2026-08-25T18:46:28Z,passed
E-205,S-003,skills/no-ai-slop/SKILL.md:30-38,prompt,"Specificity examples add exact timing figures absent from their displayed sources",direct,"Examples may be schematic",AG-002,2026-08-25T18:46:28Z,passed
E-212,S-004,SKILL.md:19-28,prompt,"Humanizer requires preserving every claim and forbids invented factual details",direct,"Intended behavior only",AG-002,2026-08-25T18:46:28Z,passed
E-214,S-004,SKILL.md:393-428,prompt,"Humanizer rejects single-feature AI inference and lists legitimate exceptions and human details to keep",direct,"False-positive controls are not measured",AG-002,2026-08-25T18:46:28Z,passed
E-217,S-004,README.md:117-145,example,"The displayed rewrite adds several personal facts absent from the displayed source despite a no-invention warning",direct,"An omitted input may have supplied the facts",AG-002,2026-08-25T18:46:28Z,passed
E-301,S-005,skills/slopbeth/SKILL.md:13-20,prompt,"Slopbeth separates instructions from artifact text and locks facts uncertainty and evidence boundaries",direct,"Intended behavior only",AG-003,2026-08-25T18:42:38Z,passed
E-303,S-005,skills/slopbeth/SKILL.md:32-48,prompt,"Slopbeth routes multiple preservation and evaluation gates and calls them signals",direct,"Scripts were not executed",AG-003,2026-08-25T18:42:38Z,passed
