principle_id,source_id,author,work,edition,chapter_or_section,page_or_location,author_term,canonical_term,writing_level,fault_class,reader_problem,diagnostic_signal,diagnostic_question,revision_operation,procedure,conditions,exceptions,risks,counterexamples,evidence_type,empirical_status,skill_owner,secondary_skill,reference_only,exclusion_reason,example_ids,test_ids,confidence
WB-CLA-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Actions/Characters,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,characters and actions,actor–action alignment,Sentence,misaligned story grammar,reader cannot identify central actor/action,subject/verb do not express central actor/action,Who or what is doing what?,align supported actor with subject and action with verb,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,,False,,sentence-clarity/examples,sc-*,medium-high
WB-CLA-02,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Actions,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,nominalization,buried action,Clause,buried action,action is obscured,action noun sits beside a light verb,Would a finite verb expose the main action?,promote action noun to verb when useful,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,,False,,sentence-clarity/examples,sc-*,medium-high
WB-CLA-03,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Characters,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,character,useful grammatical subject,Clause,misleading subject,agency/topic is hard to recover,shell or abstract subject displaces relevant actor,Does agency matter here?,use known relevant actor as subject,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,,False,,sentence-clarity/examples,sc-*,medium-high
WB-CLA-04,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,start fast,manageable clause opening,Sentence,slow windup,main clause arrives too late,long opener delays kernel,Does the opener provide needed context?,"move, compress, or split opener",Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,,False,,sentence-clarity/examples,sc-*,medium-high
WB-CLA-05,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Characters,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,passive,functional voice choice,Clause,agent suppression,accountability or action is hidden,passive suppresses relevant known agent,Does suppression harm comprehension/accountability?,recover agent or retain passive by function,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,,False,,sentence-clarity/examples,sc-*,medium-high
WB-CLA-06,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Shape,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,subject-verb split,dependency proximity,Clause,obstructive dependency,reader loses subject–verb relation,heavy movable unit interrupts dependency,Is the interruption mis-ranked or burdensome?,"move, shorten, or promote interruption",Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,,False,,sentence-clarity/examples,sc-*,medium-high
WB-CLA-07,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Understanding Style,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,reason-based principle,minimal intervention,Sentence,unnecessary rewrite,clean prose loses voice,revision has no reader-problem rationale,Is the revision more than merely different?,retain original,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,,False,,sentence-clarity/examples,sc-*,medium-high
WB-ETH-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,The Ethics of Style,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,ethical clarity,semantic and ethical fidelity,Document,meaning distortion,revision misstates evidence or responsibility,scope/certainty/agency changes,Did the edit preserve every protected proposition?,restore meaning or reject edit,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,sentence-clarity,all skills,False,,,,medium
WB-COH-01,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,old information,accessible backward link,Paragraph,flow/coherence,reader cannot connect or rank propositions,opening lacks link to prior discourse,What backward relation and forward movement should the reader recover?,place accessible context/topic early,Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,,False,,,,medium
WB-COH-02,WB5,Joseph M. Williams; Joseph Bizup,Style: The Basics of Clarity and Grace,5th,Cohesion and Coherence/Global Coherence,https://www.pearson.com/en-us/subject-catalog/p/style-the-basics-of-clarity-and-grace/P200000002141/9780134109749,topic string,topic continuity,Paragraph,flow/coherence,reader cannot connect or rank propositions,sentence topics shift without a relation,What backward relation and forward movement should the reader recover?,"repeat, summarize, or explicitly bridge topics",Diagnose in context; apply the smallest supported change; run the semantic-preservation audit.,Use only when the observable signal causes the stated reader problem.,Marked form may be functional; consult the owning skill's exceptions.,"Mechanical application can change meaning, hierarchy, register, evidence, or voice.",A clean instance of the marked form should remain unchanged.,rhetorical heuristic,normative/case-supported; not universal empirical law,cohesion-emphasis,,False,,,,medium
