issue_id,headword_or_issue,issue_type,garner_edition,garner_classification,lci_stage,register,geography,brief_rationale,preferred_or_accepted,exceptions,garner_page_or_location,current_check,current_source,retrieval_date,confidence,disagreement
UA-001,different than,collocation,5,"widespread but avoided in careful usage",3,edited general,primarily US,"5e review reports an 8:1 print ratio for different from vs different than and notes syntactic-context limits","different from; context-dependent different than","different than can introduce a clause naturally",p.329,"Current corpus query required for a live case",https://linguistlist.org/issues/34/3356/,2026-08-25,medium,"Complete 5e entry not inspected"
UA-002,plural none,agreement,unspecified first-party LCI example,fully accepted,5,all,global,"Plural agreement is standard when not any is intended","none are / none is according to sense","Singular often suits not one or noncount meaning",first-party LCI example,"Dictionary confirms singular or plural by sense",https://www.merriam-webster.com/video/is-none-singular-or-plural,2026-08-25,high,"Not a substitute for 5e page"
UA-003,object who,case,unspecified first-party LCI example,"ubiquitous but opposed",4,informal-neutral,global,"Object who is nearly universal outside immediately following a preposition","who in ordinary speech/prose; whom after preposition or formal context","Audience and syntactic position control",first-party LCI example,"Current dictionary still presents whom as object/preposition preference",https://www.merriam-webster.com/grammar/who-vs-whom-grammar-usage,2026-08-25,medium,"Exact 5e entry/page not inspected"
UA-004,not as good of a,construction,unspecified first-party LCI example,"widespread but avoided in careful usage",3,informal,primarily US,"Garner uses it to illustrate stage 3","not as good a","Dialogue or intentionally informal voice",first-party LCI example,"No current corpus result embedded",https://lawprose.org/garners-usage-tip-of-the-day-language-change-index-5/,2026-08-25,medium,"Exact 5e entry/page not inspected"
UA-005,staunch the flow,confusable,unspecified first-party LCI example,widely shunned,2,edited general,global,"Traditional verb is stanch; staunch is spreading","stanch the flow","Current dictionaries/corpora must be checked for change",first-party LCI example,"No current check completed",,2026-08-25,low,"Time-sensitive and exact 5e entry unavailable"
UA-006,illustrative for illustrious,confusable,unspecified first-party LCI example,rejected,1,all,global,"Words have different established senses","illustrious for renowned; illustrative for explanatory","None when senses differ",first-party LCI example,"Dictionary sense check required",,2026-08-25,medium,"Exact 5e entry unavailable"
UA-007,singular they,pronoun agreement,5,unverified in inaccessible entry,,all,global,"Current dictionary recognizes indefinite and nonbinary singular reference with plural-form agreement","they are / they have for singular referent","Respect named person and house requirements",not available,"Current dictionary supports standard uses",https://www.merriam-webster.com/dictionary/they,2026-08-25,high,"Garner 5e classification must be retrieved before reporting"
UA-008,data is / data are,agreement,5,unverified in inaccessible entry,,context-dependent,global,"Mass singular dominates many contexts; count plural persists in scientific/formal contexts","Match field, sense, and house style","Computing usually singular; some sciences prefer plural",not available,"Current dictionary explicitly conditions on context",https://www.merriam-webster.com/grammar/some-data-about-datum,2026-08-25,high,"Garner 5e classification unavailable"
UA-009,restrictive which,relative clause,5,unverified in inaccessible entry,,standard but style-dependent,global,"Current dictionary permits which or that restrictively","Either for restrictive; which for nonrestrictive","House style may prefer that restrictively",not available,"Current dictionary rejects that-only as grammar",https://www.merriam-webster.com/grammar/when-to-use-that-and-which,2026-08-25,high,"Garner may prefer that; exact 5e entry unavailable"
UA-010,irregardless,register/standardness,5,unverified in inaccessible entry,,nonstandard,primarily US,"Attested for centuries but widely disliked","regardless in formal edited prose","Quotation, dialogue, humor, dialect representation",not available,"Current dictionary labels/advises avoidance",https://www.merriam-webster.com/dictionary/irregardless,2026-08-25,high,"Garner 5e classification unavailable"
