source_id,source,edition,publication_year,publisher,format_inspected,access,pages_or_sections_available,pages_or_sections_unavailable,retrieval_date,cutoff_status,confidence_matches_edition
WB5,Style: The Basics of Clarity and Grace,5th,2014/©2015,Pearson,official catalog/TOC; lawful selected teaching adaptation; page-cited related-edition commentary,partial,Preface and all 10 lesson titles; selected concepts,"all lesson prose, internal sections, exercises, examples, qualifications, fifth-edition pages",2026-08-25,latest Basics edition found by cutoff,high metadata; medium operational detail
WBL13,Style: Lessons in Clarity and Grace,13th,2021/©2022,Pearson,official catalog/TOC,partial-related,all parts/chapters and edition-update description,full chapters and pages,2026-08-25,"current related flagship, not replacement edition of Basics",high
LAN5,Revising Prose,5th,2006/©2007,Pearson Longman,official catalog/TOC; peer-reviewed chapter review; university adaptation,partial,all chapters/page spans; eight-step method; lard formula,"full chapter prose, examples, exercises, complete terms appendix",2026-08-25,latest substantiated edition,high metadata; medium-high method
GOPEN,The Sense of Structure,1st,2004/©2005,Pearson Longman,official metadata; publisher-supplied TOC/subheadings; library catalogs,partial,all six chapters and visible subheadings,"full chapter prose, qualifications, examples, pages",2026-08-25,no later edition; Aug. 2026 announced book was not published by cutoff,high metadata; low-detail extraction
GS90,The Science of Scientific Writing,American Scientist 78.6,1990,Sigma Xi,complete permission-reprinted PDF,full,pp. 550–558 entire article,none,2026-08-25,stable article,high
TUF,Artful Sentences: Syntax as Style,1st/only substantiated,2006,Graphics Press,publisher/catalog metadata and complete top-level TOC,partial,14 chapter titles; bibliography/index metadata,"all chapter text, exact subcategories, examples, qualifications, page-level forms",2026-08-25,no revised edition found,high metadata; low-detail extraction
MIN96,The Minto Pyramid Principle,new and expanded,1996,Minto International,author site; catalog; complete TOC,partial,"12 chapters, four parts, three appendices; author concept/course pages",chapter text and pages,2026-08-25,author-designated expanded/complete line,high metadata; medium method
MIN26,The Pyramid Principle,3rd,2026,Pearson,official catalog/TOC,partial,"10 chapters, two parts, one appendix",full text; content-level relation to 1996 edition,2026-08-25,latest publisher-numbered edition,high metadata; relation unresolved
DIA,Diátaxis,living website,current at cutoff,diataxis.fr,full public HTML for 18 English navigation pages,full,all 18 pages,official time-stamped snapshot at exact cutoff; express mixed-document policy,2026-08-25,"news dated Aug. 4 and Aug. 6, 2026 before cutoff","high, not absolute temporal"
GAR5,Garner's Modern English Usage,5th,2022,Oxford University Press,OUP/LawProse metadata; first-party LCI; Oxford Reference front/index only; scholarly review,partial,front-matter categories; LCI; selected verified examples,"complete A–Z corpus, headword inventory, all classifications/pages/LCI assignments",2026-08-25,latest edition by cutoff,high meta-method; unsupported exhaustiveness
STR18,The Elements of Style,1918 original,1918,private,lawful public-domain scan/text,full,entire 43-page original,none,2026-08-25,historical,high
STR20,The Elements of Style,1920 trade,1920,"Harcourt, Brace and Howe",Project Gutenberg full text,full,entire trade text,none,2026-08-25,historical,high
SW4,The Elements of Style,4th,1999/©2000,Pearson,official metadata and full TOC,partial,all rule/reminder headings; edition-change overview,"full prose, Chapter IV headword inventory and qualifications",2026-08-25,latest substantiated substantive revision; 2009 reprints same text,high metadata; incomplete rules
PULLUM,The Land of the Free and The Elements of Style,English Today 26.2,2010,Cambridge UP,complete author manuscript HTML; publisher abstract/metadata,full-author-manuscript,all manuscript sections and references; published abstract,publisher typeset body,2026-08-25,stable article,high
PLAT,OpenAI Skill format and packaging,living docs,2026,OpenAI,full official HTML; local official skill-creator schema,full-current,"SKILL.md schema, activation, metadata, locations, plugin distribution, upload notes",dated revision snapshot at exact Aug. 19 cutoff,2026-08-25,Help Center updated before cutoff; Build page undated; no contrary post-cutoff change found,high current; temporal caveat
