source_id,title,publisher,author,url,source_type,provenance_class,primary_or_secondary,official_or_independent,published_date,updated_date,accessed_at,geography,authority,relevance,freshness,independence,upstream_source_id,status,exclusion_reason,limitations,notes
S-001,soundshuman repository,GitHub,aashaexo,https://github.com/aashaexo/soundshuman/tree/a45cfbba9fde843d670e553a0aa98f6a23d7fb28,repository,P2,primary,independent,,2026-08-07T19:34:47Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,partial,,included,,Authoritative only for its own rules and implementation; explicitly derives its backbone from Humanizer,Commit pinned and clean
S-002,stop-slop repository,GitHub,hardikpandya,https://github.com/hardikpandya/stop-slop/tree/8da1f030185bdfe8471220585162991eaeb970e9,repository,P2,primary,independent,,2026-03-17T18:50:36Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,independent,,included,,Authoritative only for its own rules and implementation; quality claims require evaluation,Commit pinned and clean
S-003,no-ai-slop repository,GitHub,petergyang,https://github.com/petergyang/no-ai-slop/tree/d30eddb9e04562234f2070b5ee63ca4649d9a05e,repository,P2,primary,independent,,2026-08-06T04:20:10Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,independent,,included,,Authoritative only for its own rules and implementation; quality claims require evaluation,Commit pinned and clean
S-004,humanizer repository,GitHub,blader,https://github.com/blader/humanizer/tree/e2e92e7b4b8229253ed5c8e81dc65463fdeddda5,repository,P2,primary,independent,,2026-08-19T05:58:53Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,independent,,included,,Authoritative only for its own rules and implementation; quality claims require evaluation,Commit pinned and clean
S-005,slopkit repository,GitHub,ehmo,https://github.com/ehmo/slopkit/tree/b33718bb9283c11b09567dc714f92d90ffb7bd16,repository,P2,primary,independent,,2026-07-22T16:07:38Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,independent,,included,,Authoritative only for its own rules and implementation; quality claims require evaluation,Commit pinned and clean
S-006,anti-ai-slop-writing repository,GitHub,jalaalrd,https://github.com/jalaalrd/anti-ai-slop-writing/tree/63255f9bbb75a265dc5786a04535cd033f487756,repository,P2,primary,independent,,2026-04-18T23:37:12Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,independent,,included,,No license file found; authoritative only for its own rules,Commit pinned and clean
S-007,avoid-ai-writing repository,GitHub,conorbronsdon,https://github.com/conorbronsdon/avoid-ai-writing/tree/40328bd292bc682d46010a6f9ac2cdbf4fb4ceca,repository,P2,primary,independent,,2026-08-24T17:41:23Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,partial,,included,,Authoritative only for its own rules and implementation; credits Humanizer and other upstream pattern sets,Commit pinned and clean
S-008,Kami anti-patterns reference,GitHub,tw93,https://github.com/tw93/Kami/blob/68c1dfad6e757047357efdcf13269ec6e820f899/references/anti-patterns.md,repository-file,P2,primary,independent,,2026-08-25T06:16:19Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,independent,,included,,Prescriptive project reference; quality claims require evaluation,Commit pinned and clean
S-009,Kami writing reference,GitHub,tw93,https://github.com/tw93/Kami/blob/68c1dfad6e757047357efdcf13269ec6e820f899/references/writing.md,repository-file,P2,primary,independent,,2026-08-25T06:16:19Z,2026-08-25T18:36:30Z,global,self-authoritative,high,current,independent,,included,,Prescriptive project reference; quality claims require evaluation,Commit pinned and clean
S-010,Writing quality portfolio skill contracts,GitHub,nsahmed23,https://github.com/nsahmed23/writing-quality-portfolio/tree/74a282108da2a620542556fa001ebcdde0c9be85/skills,repository-subtree,P2,primary,official,,2026-08-25T00:00:00Z,2026-08-25T18:36:30Z,global,authoritative,high,current,not-independent,,included,,Baseline under review; not independent evidence of effectiveness,Seven published skill contracts
