source_id,order,chapter_or_section,page_or_location,access,operational_disposition,skill_owner,notes
WB5,1,Preface,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,reference-only,Full lesson unavailable; no fifth-edition page claim
WB5,2,Lesson 1 Understanding Style,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,shared-reference,Full lesson unavailable; no fifth-edition page claim
WB5,3,Lesson 2 Actions,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,sentence-clarity,Full lesson unavailable; no fifth-edition page claim
WB5,4,Lesson 3 Characters,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,sentence-clarity,Full lesson unavailable; no fifth-edition page claim
WB5,5,Lesson 4 Cohesion and Coherence,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,cohesion-emphasis,Full lesson unavailable; no fifth-edition page claim
WB5,6,Lesson 5 Emphasis,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,cohesion-emphasis,Full lesson unavailable; no fifth-edition page claim
WB5,7,Lesson 6 Global Coherence,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,memo-structure/shared-reference,Full lesson unavailable; no fifth-edition page claim
WB5,8,Lesson 7 Concision,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,concision,Full lesson unavailable; no fifth-edition page claim
WB5,9,Lesson 8 Shape,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,sentence-clarity/sentence-variety,Full lesson unavailable; no fifth-edition page claim
WB5,10,Lesson 9 Elegance,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,sentence-variety,Full lesson unavailable; no fifth-edition page claim
WB5,11,Lesson 10 The Ethics of Style,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,shared ethics,Full lesson unavailable; no fifth-edition page claim
WB5,12,Index,official TOC,partial,Chapter accounted; accessible operational principles registered where supported,reference-only,Full lesson unavailable; no fifth-edition page claim
WBL13,1,Preface,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,2,In Memoriam,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,3,Introduction,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,4,Part One: Style as Choice,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,5,Lesson One: Correctness and Style,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,6,Part Two: Clarity,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,7,Lesson Two: Actions,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,8,Lesson Three: Characters,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,9,Lesson Four: Cohesion and Coherence,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,10,Lesson Five: Emphasis,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,11,Part Three: Clarity of Form,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,12,Lesson Six: Framing Documents,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,13,Lesson Seven: Framing Sections,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,14,Part Four: Grace,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,15,Lesson Eight: Concision,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,16,Lesson Nine: Shape,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,17,Lesson Ten: Elegance,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,18,Part Five: Ethics,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,19,Lesson Eleven: The Ethics of Clarity,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
WBL13,20,Lesson Twelve: Beyond Clarity,official Pearson TOC,partial-related,Related-edition location accounted; used only to distinguish the current Lessons line and corroborate architecture,shared-reference,Not substituted for Basics fifth; full chapter unavailable
